weight_class,category,direction,rank,fighter,score,prior_fights,days_since_last_fight,supporting_stats_json
Women's Bantamweight,finishing,worst,4,Jacqueline Cavalcanti,-0.771,5,182,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 1.0}"
Women's Bantamweight,finishing,worst,5,Jessica-Rose Clark,-0.694,9,1092,"{""prior_finish_win_rate"": 0.111, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.222, ""prior_win_rate"": 0.444}"
Women's Bantamweight,defense,best,1,Luana Santos,1.575,6,147,"{""avg_sig_str_defense"": 0.697, ""avg_td_defense"": 0.8, ""avg_sig_str_absorbed_per_15"": 44.799, ""avg_td_absorbed_per_15"": 0.167, ""avg_ctrl_absorbed_seconds_per_15"": 61.517, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.0}"
Women's Bantamweight,defense,best,2,Jacqueline Cavalcanti,1.375,5,182,"{""avg_sig_str_defense"": 0.649, ""avg_td_defense"": 0.847, ""avg_sig_str_absorbed_per_15"": 47.6, ""avg_td_absorbed_per_15"": 0.4, ""avg_ctrl_absorbed_seconds_per_15"": 83.8, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.0}"
Women's Bantamweight,defense,best,3,Amanda Nunes,1.111,18,1064,"{""avg_sig_str_defense"": 0.62, ""avg_td_defense"": 0.716, ""avg_sig_str_absorbed_per_15"": 39.563, ""avg_td_absorbed_per_15"": 0.412, ""avg_ctrl_absorbed_seconds_per_15"": 53.199, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.111}"
Women's Bantamweight,defense,best,4,Norma Dumont,0.957,12,14,"{""avg_sig_str_defense"": 0.624, ""avg_td_defense"": 0.833, ""avg_sig_str_absorbed_per_15"": 35.471, ""avg_td_absorbed_per_15"": 0.75, ""avg_ctrl_absorbed_seconds_per_15"": 160.16, ""avg_kd_against"": 0.167, ""prior_finish_loss_rate"": 0.083}"
Women's Bantamweight,defense,best,5,Holly Holm,0.756,15,756,"{""avg_sig_str_defense"": 0.562, ""avg_td_defense"": 0.812, ""avg_sig_str_absorbed_per_15"": 45.114, ""avg_td_absorbed_per_15"": 0.607, ""avg_ctrl_absorbed_seconds_per_15"": 82.635, ""avg_kd_against"": 0.067, ""prior_finish_loss_rate"": 0.2}"
Women's Bantamweight,defense,worst,1,Chelsea Chandler,-1.486,5,378,"{""avg_sig_str_defense"": 0.416, ""avg_td_defense"": 0.222, ""avg_sig_str_absorbed_per_15"": 81.832, ""avg_td_absorbed_per_15"": 2.498, ""avg_ctrl_absorbed_seconds_per_15"": 196.622, ""avg_kd_against"": 0.2, ""prior_finish_loss_rate"": 0.2}"
Women's Bantamweight,defense,worst,2,Priscila Cachoeira,-1.243,13,91,"{""avg_sig_str_defense"": 0.426, ""avg_td_defense"": 0.71, ""avg_sig_str_absorbed_per_15"": 113.607, ""avg_td_absorbed_per_15"": 1.544, ""avg_ctrl_absorbed_seconds_per_15"": 273.311, ""avg_kd_against"": 0.231, ""prior_finish_loss_rate"": 0.385}"
Women's Bantamweight,defense,worst,3,Julianna Pena,-1.006,12,336,"{""avg_sig_str_defense"": 0.521, ""avg_td_defense"": 0.193, ""avg_sig_str_absorbed_per_15"": 34.12, ""avg_td_absorbed_per_15"": 2.136, ""avg_ctrl_absorbed_seconds_per_15"": 300.098, ""avg_kd_against"": 0.333, ""prior_finish_loss_rate"": 0.25}"
Women's Bantamweight,defense,worst,4,Mayra Bueno Silva,-0.875,12,14,"{""avg_sig_str_defense"": 0.47, ""avg_td_defense"": 0.432, ""avg_sig_str_absorbed_per_15"": 71.652, ""avg_td_absorbed_per_15"": 2.794, ""avg_ctrl_absorbed_seconds_per_15"": 346.667, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.083}"
Women's Bantamweight,defense,worst,5,Josiane Nunes,-0.681,6,420,"{""avg_sig_str_defense"": 0.52, ""avg_td_defense"": 0.35, ""avg_sig_str_absorbed_per_15"": 104.291, ""avg_td_absorbed_per_15"": 0.833, ""avg_ctrl_absorbed_seconds_per_15"": 110.307, ""avg_kd_against"": 0.167, ""prior_finish_loss_rate"": 0.167}"
Women's Bantamweight,elo,best,1,Amanda Nunes,1691.753,18,1064,"{""prior_elo"": 1691.753, ""prior_peak_elo"": 1691.753, ""prior_win_rate"": 0.889, ""prior_fights"": 18}"
Women's Bantamweight,elo,best,2,Raquel Pennington,1598.594,19,581,"{""prior_elo"": 1598.594, ""prior_peak_elo"": 1613.799, ""prior_win_rate"": 0.684, ""prior_fights"": 19}"
Women's Bantamweight,elo,best,3,Norma Dumont,1589.586,12,14,"{""prior_elo"": 1589.586, ""prior_peak_elo"": 1607.714, ""prior_win_rate"": 0.75, ""prior_fights"": 12}"
Women's Bantamweight,elo,best,4,Joselyne Edwards,1579.357,13,14,"{""prior_elo"": 1579.357, ""prior_peak_elo"": 1579.357, ""prior_win_rate"": 0.692, ""prior_fights"": 13}"
Women's Bantamweight,elo,best,5,Ailin Perez,1575.948,7,70,"{""prior_elo"": 1575.948, ""prior_peak_elo"": 1575.948, ""prior_win_rate"": 0.857, ""prior_fights"": 7}"
Women's Bantamweight,elo,worst,1,Ashlee Evans-Smith,1454.728,9,1029,"{""prior_elo"": 1454.728, ""prior_peak_elo"": 1518.942, ""prior_win_rate"": 0.333, ""prior_fights"": 9}"
Women's Bantamweight,elo,worst,2,Mayra Bueno Silva,1470.705,12,14,"{""prior_elo"": 1470.705, ""prior_peak_elo"": 1544.558, ""prior_win_rate"": 0.417, ""prior_fights"": 12}"
Women's Bantamweight,elo,worst,3,Priscila Cachoeira,1472.736,13,91,"{""prior_elo"": 1472.736, ""prior_peak_elo"": 1516.467, ""prior_win_rate"": 0.385, ""prior_fights"": 13}"
Women's Bantamweight,elo,worst,4,Jessica-Rose Clark,1476.927,9,1092,"{""prior_elo"": 1476.927, ""prior_peak_elo"": 1529.852, ""prior_win_rate"": 0.444, ""prior_fights"": 9}"
Women's Bantamweight,elo,worst,5,Chelsea Chandler,1483.886,5,378,"{""prior_elo"": 1483.886, ""prior_peak_elo"": 1521.329, ""prior_win_rate"": 0.4, ""prior_fights"": 5}"
Women's Bantamweight,experience,best,1,Raquel Pennington,19.0,19,581,"{""prior_fights"": 19, ""prior_wins"": 13, ""prior_losses"": 6, ""prior_win_rate"": 0.684}"
Women's Bantamweight,experience,best,2,Amanda Nunes,18.0,18,1064,"{""prior_fights"": 18, ""prior_wins"": 16, ""prior_losses"": 2, ""prior_win_rate"": 0.889}"
Women's Bantamweight,experience,best,3,Holly Holm,15.0,15,756,"{""prior_fights"": 15, ""prior_wins"": 8, ""prior_losses"": 7, ""prior_win_rate"": 0.533}"
Women's Bantamweight,experience,best,4,Irene Aldana,14.0,14,602,"{""prior_fights"": 14, ""prior_wins"": 8, ""prior_losses"": 6, ""prior_win_rate"": 0.571}"
Women's Bantamweight,experience,best,5,Miesha Tate,14.0,14,371,"{""prior_fights"": 14, ""prior_wins"": 7, ""prior_losses"": 7, ""prior_win_rate"": 0.5}"
Women's Bantamweight,experience,worst,1,Jacqueline Cavalcanti,5.0,5,182,"{""prior_fights"": 5, ""prior_wins"": 5, ""prior_losses"": 0, ""prior_win_rate"": 1.0}"
Women's Bantamweight,experience,worst,2,Chelsea Chandler,5.0,5,378,"{""prior_fights"": 5, ""prior_wins"": 2, ""prior_losses"": 3, ""prior_win_rate"": 0.4}"
Women's Bantamweight,experience,worst,3,Julia Avila,6.0,6,448,"{""prior_fights"": 6, ""prior_wins"": 3, ""prior_losses"": 3, ""prior_win_rate"": 0.5}"
Women's Bantamweight,experience,worst,4,Josiane Nunes,6.0,6,420,"{""prior_fights"": 6, ""prior_wins"": 3, ""prior_losses"": 3, ""prior_win_rate"": 0.5}"
Women's Bantamweight,experience,worst,5,Nora Cornolle,6.0,6,77,"{""prior_fights"": 6, ""prior_wins"": 3, ""prior_losses"": 3, ""prior_win_rate"": 0.5}"
Women's Bantamweight,reach,best,1,Macy Chiasson,72.0,14,70,"{""height_inches"": 71.0, ""reach_inches"": 72.0, ""reach_minus_height_inches"": 1.0}"
Women's Bantamweight,reach,best,2,Germaine de Randamie,71.0,10,763,"{""height_inches"": 69.0, ""reach_inches"": 71.0, ""reach_minus_height_inches"": 2.0}"
Women's Bantamweight,reach,best,3,Joselyne Edwards,70.0,13,14,"{""height_inches"": 68.0, ""reach_inches"": 70.0, ""reach_minus_height_inches"": 2.0}"
Women's Bantamweight,reach,best,4,Jacqueline Cavalcanti,70.0,5,182,"{""height_inches"": 68.0, ""reach_inches"": 70.0, ""reach_minus_height_inches"": 2.0}"
Women's Bantamweight,reach,best,5,Holly Holm,69.0,15,756,"{""height_inches"": 68.0, ""reach_inches"": 69.0, ""reach_minus_height_inches"": 1.0}"
Women's Bantamweight,reach,worst,1,Jessica-Rose Clark,64.0,9,1092,"{""height_inches"": 65.0, ""reach_inches"": 64.0, ""reach_minus_height_inches"": -1.0}"
Women's Bantamweight,reach,worst,2,Miesha Tate,65.0,14,371,"{""height_inches"": 66.0, ""reach_inches"": 65.0, ""reach_minus_height_inches"": -1.0}"
Women's Bantamweight,reach,worst,3,Priscila Cachoeira,65.0,13,91,"{""height_inches"": 67.0, ""reach_inches"": 65.0, ""reach_minus_height_inches"": -2.0}"
Women's Bantamweight,reach,worst,4,Pannie Kianzad,66.0,11,637,"{""height_inches"": 67.0, ""reach_inches"": 66.0, ""reach_minus_height_inches"": -1.0}"
Women's Bantamweight,reach,worst,5,Mayra Bueno Silva,66.0,12,14,"{""height_inches"": 66.0, ""reach_inches"": 66.0, ""reach_minus_height_inches"": 0.0}"
Women's Bantamweight,reach_for_size,best,1,Josiane Nunes,5.0,6,420,"{""height_inches"": 62.0, ""reach_inches"": 67.0, ""reach_minus_height_inches"": 5.0}"
Women's Bantamweight,reach_for_size,best,2,Luana Carolina,3.0,10,224,"{""height_inches"": 66.0, ""reach_inches"": 69.0, ""reach_minus_height_inches"": 3.0}"
Women's Bantamweight,reach_for_size,best,3,Julianna Pena,3.0,12,336,"{""height_inches"": 66.0, ""reach_inches"": 69.0, ""reach_minus_height_inches"": 3.0}"
Women's Bantamweight,reach_for_size,best,4,Yana Santos,2.0,12,217,"{""height_inches"": 66.0, ""reach_inches"": 68.0, ""reach_minus_height_inches"": 2.0}"
Women's Bantamweight,reach_for_size,best,5,Stephanie Egger,2.0,7,882,"{""height_inches"": 66.0, ""reach_inches"": 68.0, ""reach_minus_height_inches"": 2.0}"
Women's Bantamweight,reach_for_size,worst,1,Priscila Cachoeira,-2.0,13,91,"{""height_inches"": 67.0, ""reach_inches"": 65.0, ""reach_minus_height_inches"": -2.0}"
Women's Bantamweight,reach_for_size,worst,2,Miesha Tate,-1.0,14,371,"{""height_inches"": 66.0, ""reach_inches"": 65.0, ""reach_minus_height_inches"": -1.0}"
Women's Bantamweight,reach_for_size,worst,3,Irene Aldana,-1.0,14,602,"{""height_inches"": 69.0, ""reach_inches"": 68.0, ""reach_minus_height_inches"": -1.0}"
Women's Bantamweight,reach_for_size,worst,4,Ashlee Evans-Smith,-1.0,9,1029,"{""height_inches"": 68.0, ""reach_inches"": 67.0, ""reach_minus_height_inches"": -1.0}"
Women's Bantamweight,reach_for_size,worst,5,Pannie Kianzad,-1.0,11,637,"{""height_inches"": 67.0, ""reach_inches"": 66.0, ""reach_minus_height_inches"": -1.0}"
Flyweight,overall,best,1,Joshua Van,1.712,11,0,"{""prior_elo"": 1641.191, ""prior_win_rate"": 0.909, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": 21.495, ""prior_finish_win_rate"": 0.364}"
Flyweight,overall,best,2,Kyoji Horiguchi,1.539,10,91,"{""prior_elo"": 1619.859, ""prior_win_rate"": 0.9, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": 32.107, ""prior_finish_win_rate"": 0.3}"
Flyweight,overall,best,3,Muhammad Mokaev,1.536,7,651,"{""prior_elo"": 1602.477, ""prior_win_rate"": 1.0, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": 5.073, ""prior_finish_win_rate"": 0.571}"
Flyweight,overall,best,4,Alexandre Pantoja,1.432,18,154,"{""prior_elo"": 1631.645, ""prior_win_rate"": 0.778, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 20.645, ""prior_finish_win_rate"": 0.444}"
Flyweight,overall,best,5,Tatsuro Taira,1.085,10,0,"{""prior_elo"": 1596.484, ""prior_win_rate"": 0.8, ""recent_5_win_rate"": 0.6, ""avg_sig_str_differential_per_15"": 9.138, ""prior_finish_win_rate"": 0.6}"
Flyweight,overall,worst,1,Daniel Lacerda,-2.144,5,805,"{""prior_elo"": 1415.486, ""prior_win_rate"": 0.0, ""recent_5_win_rate"": 0.0, ""avg_sig_str_differential_per_15"": -64.093, ""prior_finish_win_rate"": 0.0}"
Flyweight,overall,worst,2,Zhalgas Zhumagulov,-1.487,7,1050,"{""prior_elo"": 1430.016, ""prior_win_rate"": 0.143, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -16.599, ""prior_finish_win_rate"": 0.143}"
Flyweight,overall,worst,3,Kevin Borjas,-1.472,5,70,"{""prior_elo"": 1450.112, ""prior_win_rate"": 0.2, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -44.26, ""prior_finish_win_rate"": 0.0}"
Flyweight,overall,worst,4,Jimmy Flick,-1.197,6,378,"{""prior_elo"": 1459.946, ""prior_win_rate"": 0.333, ""recent_5_win_rate"": 0.2, ""avg_sig_str_differential_per_15"": -73.301, ""prior_finish_win_rate"": 0.333}"
Flyweight,overall,worst,5,Malcolm Gordon,-1.104,7,840,"{""prior_elo"": 1454.193, ""prior_win_rate"": 0.286, ""recent_5_win_rate"": 0.4, ""avg_sig_str_differential_per_15"": -33.151, ""prior_finish_win_rate"": 0.143}"
Flyweight,striking,best,1,Sumudaerji,1.315,10,63,"{""avg_sig_str_differential_per_15"": 39.814, ""avg_sig_str_landed_per_15"": 74.977, ""avg_sig_str_absorbed_per_15"": 35.164, ""avg_sig_str_accuracy"": 0.509, ""avg_sig_str_defense"": 0.644, ""avg_kd_for"": 0.2, ""avg_kd_against"": 0.1}"
Flyweight,striking,best,2,Kyoji Horiguchi,1.295,10,91,"{""avg_sig_str_differential_per_15"": 32.107, ""avg_sig_str_landed_per_15"": 63.858, ""avg_sig_str_absorbed_per_15"": 31.751, ""avg_sig_str_accuracy"": 0.513, ""avg_sig_str_defense"": 0.621, ""avg_kd_for"": 0.6, ""avg_kd_against"": 0.0}"
Flyweight,striking,best,3,Joshua Van,1.191,11,0,"{""avg_sig_str_differential_per_15"": 21.495, ""avg_sig_str_landed_per_15"": 122.212, ""avg_sig_str_absorbed_per_15"": 100.717, ""avg_sig_str_accuracy"": 0.567, ""avg_sig_str_defense"": 0.568, ""avg_kd_for"": 0.636, ""avg_kd_against"": 0.091}"
Flyweight,striking,best,4,Alex Perez,1.133,14,105,"{""avg_sig_str_differential_per_15"": 30.919, ""avg_sig_str_landed_per_15"": 84.932, ""avg_sig_str_absorbed_per_15"": 54.013, ""avg_sig_str_accuracy"": 0.464, ""avg_sig_str_defense"": 0.588, ""avg_kd_for"": 0.429, ""avg_kd_against"": 0.0}"
Flyweight,striking,best,5,Manel Kape,1.064,10,147,"{""avg_sig_str_differential_per_15"": 18.745, ""avg_sig_str_landed_per_15"": 84.851, ""avg_sig_str_absorbed_per_15"": 66.107, ""avg_sig_str_accuracy"": 0.579, ""avg_sig_str_defense"": 0.539, ""avg_kd_for"": 0.7, ""avg_kd_against"": 0.0}"
Flyweight,striking,worst,1,Jimmy Flick,-2.236,6,378,"{""avg_sig_str_differential_per_15"": -73.301, ""avg_sig_str_landed_per_15"": 23.537, ""avg_sig_str_absorbed_per_15"": 96.838, ""avg_sig_str_accuracy"": 0.478, ""avg_sig_str_defense"": 0.4, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.167}"
Flyweight,striking,worst,2,Daniel Lacerda,-1.85,5,805,"{""avg_sig_str_differential_per_15"": -64.093, ""avg_sig_str_landed_per_15"": 58.855, ""avg_sig_str_absorbed_per_15"": 122.949, ""avg_sig_str_accuracy"": 0.52, ""avg_sig_str_defense"": 0.273, ""avg_kd_for"": 0.6, ""avg_kd_against"": 0.4}"
Flyweight,striking,worst,3,Malcolm Gordon,-1.466,7,840,"{""avg_sig_str_differential_per_15"": -33.151, ""avg_sig_str_landed_per_15"": 34.109, ""avg_sig_str_absorbed_per_15"": 67.26, ""avg_sig_str_accuracy"": 0.312, ""avg_sig_str_defense"": 0.435, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.286}"
Flyweight,striking,worst,4,Kevin Borjas,-1.27,5,70,"{""avg_sig_str_differential_per_15"": -44.26, ""avg_sig_str_landed_per_15"": 50.061, ""avg_sig_str_absorbed_per_15"": 94.321, ""avg_sig_str_accuracy"": 0.416, ""avg_sig_str_defense"": 0.482, ""avg_kd_for"": 0.6, ""avg_kd_against"": 0.4}"
Flyweight,striking,worst,5,Carlos Hernandez,-0.758,7,357,"{""avg_sig_str_differential_per_15"": -15.14, ""avg_sig_str_landed_per_15"": 41.374, ""avg_sig_str_absorbed_per_15"": 56.514, ""avg_sig_str_accuracy"": 0.43, ""avg_sig_str_defense"": 0.46, ""avg_kd_for"": 0.0, ""avg_kd_against"": 0.286}"
Flyweight,grappling,best,1,Tatsuro Taira,1.501,10,0,"{""avg_td_landed_per_15"": 3.609, ""avg_td_accuracy"": 0.564, ""avg_td_defense"": 0.42, ""avg_ctrl_seconds_per_15"": 516.711, ""avg_sub_att_per_15"": 1.72, ""avg_td_absorbed_per_15"": 0.638, ""avg_ctrl_absorbed_seconds_per_15"": 70.24}"
Flyweight,grappling,best,2,Tagir Ulanbekov,1.377,8,168,"{""avg_td_landed_per_15"": 3.159, ""avg_td_accuracy"": 0.494, ""avg_td_defense"": 0.748, ""avg_ctrl_seconds_per_15"": 400.586, ""avg_sub_att_per_15"": 2.382, ""avg_td_absorbed_per_15"": 1.375, ""avg_ctrl_absorbed_seconds_per_15"": 113.833}"
Flyweight,grappling,best,3,Asu Almabayev,1.257,7,168,"{""avg_td_landed_per_15"": 4.223, ""avg_td_accuracy"": 0.37, ""avg_td_defense"": 0.48, ""avg_ctrl_seconds_per_15"": 405.296, ""avg_sub_att_per_15"": 1.588, ""avg_td_absorbed_per_15"": 0.906, ""avg_ctrl_absorbed_seconds_per_15"": 58.09}"
Flyweight,grappling,best,4,Muhammad Mokaev,1.2,7,651,"{""avg_td_landed_per_15"": 4.545, ""avg_td_accuracy"": 0.474, ""avg_td_defense"": 0.25, ""avg_ctrl_seconds_per_15"": 429.594, ""avg_sub_att_per_15"": 2.824, ""avg_td_absorbed_per_15"": 2.529, ""avg_ctrl_absorbed_seconds_per_15"": 92.373}"
Flyweight,grappling,best,5,Alexandre Pantoja,0.98,18,154,"{""avg_td_landed_per_15"": 2.787, ""avg_td_accuracy"": 0.537, ""avg_td_defense"": 0.72, ""avg_ctrl_seconds_per_15"": 276.162, ""avg_sub_att_per_15"": 2.1, ""avg_td_absorbed_per_15"": 1.56, ""avg_ctrl_absorbed_seconds_per_15"": 110.523}"
Flyweight,grappling,worst,1,Jesus Aguilar,-1.138,7,63,"{""avg_td_landed_per_15"": 0.714, ""avg_td_accuracy"": 0.263, ""avg_td_defense"": 0.354, ""avg_ctrl_seconds_per_15"": 107.303, ""avg_sub_att_per_15"": 1.732, ""avg_td_absorbed_per_15"": 4.017, ""avg_ctrl_absorbed_seconds_per_15"": 393.94}"
Flyweight,grappling,worst,2,Edgar Chairez,-1.07,5,70,"{""avg_td_landed_per_15"": 0.0, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.25, ""avg_ctrl_seconds_per_15"": 29.6, ""avg_sub_att_per_15"": 3.114, ""avg_td_absorbed_per_15"": 2.514, ""avg_ctrl_absorbed_seconds_per_15"": 271.669}"
Flyweight,grappling,worst,3,Charles Johnson,-0.932,14,56,"{""avg_td_landed_per_15"": 0.469, ""avg_td_accuracy"": 0.119, ""avg_td_defense"": 0.663, ""avg_ctrl_seconds_per_15"": 69.058, ""avg_sub_att_per_15"": 0.286, ""avg_td_absorbed_per_15"": 2.808, ""avg_ctrl_absorbed_seconds_per_15"": 207.895}"
Flyweight,grappling,worst,4,Carlos Hernandez,-0.831,7,357,"{""avg_td_landed_per_15"": 1.286, ""avg_td_accuracy"": 0.259, ""avg_td_defense"": 0.579, ""avg_ctrl_seconds_per_15"": 115.773, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 3.05, ""avg_ctrl_absorbed_seconds_per_15"": 273.956}"
Flyweight,grappling,worst,5,Kevin Borjas,-0.696,5,70,"{""avg_td_landed_per_15"": 0.0, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.793, ""avg_ctrl_seconds_per_15"": 46.4, ""avg_sub_att_per_15"": 0.0, ""avg_td_absorbed_per_15"": 0.921, ""avg_ctrl_absorbed_seconds_per_15"": 115.337}"
Flyweight,wrestling,best,1,Tatsuro Taira,1.525,10,0,"{""avg_td_landed_per_15"": 3.609, ""avg_td_attempted_per_15"": 7.213, ""avg_td_accuracy"": 0.564, ""avg_td_defense"": 0.42, ""avg_ctrl_seconds_per_15"": 516.711, ""avg_td_absorbed_per_15"": 0.638}"
Flyweight,wrestling,best,2,Asu Almabayev,1.439,7,168,"{""avg_td_landed_per_15"": 4.223, ""avg_td_attempted_per_15"": 10.105, ""avg_td_accuracy"": 0.37, ""avg_td_defense"": 0.48, ""avg_ctrl_seconds_per_15"": 405.296, ""avg_td_absorbed_per_15"": 0.906}"
Flyweight,wrestling,best,3,Tagir Ulanbekov,1.309,8,168,"{""avg_td_landed_per_15"": 3.159, ""avg_td_attempted_per_15"": 7.421, ""avg_td_accuracy"": 0.494, ""avg_td_defense"": 0.748, ""avg_ctrl_seconds_per_15"": 400.586, ""avg_td_absorbed_per_15"": 1.375}"
Flyweight,wrestling,best,4,Muhammad Mokaev,1.248,7,651,"{""avg_td_landed_per_15"": 4.545, ""avg_td_attempted_per_15"": 10.918, ""avg_td_accuracy"": 0.474, ""avg_td_defense"": 0.25, ""avg_ctrl_seconds_per_15"": 429.594, ""avg_td_absorbed_per_15"": 2.529}"
Flyweight,wrestling,best,5,Daniel Lacerda,1.184,5,805,"{""avg_td_landed_per_15"": 3.952, ""avg_td_attempted_per_15"": 5.324, ""avg_td_accuracy"": 0.625, ""avg_td_defense"": null, ""avg_ctrl_seconds_per_15"": 162.798, ""avg_td_absorbed_per_15"": 0.0}"
Flyweight,wrestling,worst,1,Edgar Chairez,-1.546,5,70,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 0.4, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.25, ""avg_ctrl_seconds_per_15"": 29.6, ""avg_td_absorbed_per_15"": 2.514}"
Flyweight,wrestling,worst,2,Jesus Aguilar,-1.032,7,63,"{""avg_td_landed_per_15"": 0.714, ""avg_td_attempted_per_15"": 2.714, ""avg_td_accuracy"": 0.263, ""avg_td_defense"": 0.354, ""avg_ctrl_seconds_per_15"": 107.303, ""avg_td_absorbed_per_15"": 4.017}"
Flyweight,wrestling,worst,3,Charles Johnson,-0.824,14,56,"{""avg_td_landed_per_15"": 0.469, ""avg_td_attempted_per_15"": 3.094, ""avg_td_accuracy"": 0.119, ""avg_td_defense"": 0.663, ""avg_ctrl_seconds_per_15"": 69.058, ""avg_td_absorbed_per_15"": 2.808}"
Flyweight,wrestling,worst,4,Kevin Borjas,-0.725,5,70,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 2.511, ""avg_td_accuracy"": 0.0, ""avg_td_defense"": 0.793, ""avg_ctrl_seconds_per_15"": 46.4, ""avg_td_absorbed_per_15"": 0.921}"
Flyweight,wrestling,worst,5,CJ Vergara,-0.714,8,406,"{""avg_td_landed_per_15"": 0.0, ""avg_td_attempted_per_15"": 0.0, ""avg_td_accuracy"": null, ""avg_td_defense"": 0.676, ""avg_ctrl_seconds_per_15"": 97.604, ""avg_td_absorbed_per_15"": 2.311}"
Flyweight,finishing,best,1,Joseph Morales,1.246,5,182,"{""prior_finish_win_rate"": 0.6, ""avg_kd_for"": 0.2, ""avg_sub_att_per_15"": 3.341, ""prior_win_rate"": 0.6}"
Flyweight,finishing,best,2,Muhammad Mokaev,1.196,7,651,"{""prior_finish_win_rate"": 0.571, ""avg_kd_for"": 0.143, ""avg_sub_att_per_15"": 2.824, ""prior_win_rate"": 1.0}"
Flyweight,finishing,best,3,HyunSung Park,1.149,5,203,"{""prior_finish_win_rate"": 0.6, ""avg_kd_for"": 0.4, ""avg_sub_att_per_15"": 1.916, ""prior_win_rate"": 0.6}"
Flyweight,finishing,best,4,Tatsuro Taira,1.114,10,0,"{""prior_finish_win_rate"": 0.6, ""avg_kd_for"": 0.3, ""avg_sub_att_per_15"": 1.72, ""prior_win_rate"": 0.8}"
Flyweight,finishing,best,5,Manel Kape,0.84,10,147,"{""prior_finish_win_rate"": 0.5, ""avg_kd_for"": 0.7, ""avg_sub_att_per_15"": 0.2, ""prior_win_rate"": 0.7}"
Flyweight,finishing,worst,1,Carlos Hernandez,-1.399,7,357,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.429}"
Flyweight,finishing,worst,2,CJ Vergara,-1.02,8,406,"{""prior_finish_win_rate"": 0.125, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 0.207, ""prior_win_rate"": 0.375}"
Flyweight,finishing,worst,3,Kevin Borjas,-0.97,5,70,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.6, ""avg_sub_att_per_15"": 0.0, ""prior_win_rate"": 0.2}"
Flyweight,finishing,worst,4,Daniel Lacerda,-0.935,5,805,"{""prior_finish_win_rate"": 0.0, ""avg_kd_for"": 0.6, ""avg_sub_att_per_15"": 0.662, ""prior_win_rate"": 0.0}"
Flyweight,finishing,worst,5,Zhalgas Zhumagulov,-0.912,7,1050,"{""prior_finish_win_rate"": 0.143, ""avg_kd_for"": 0.0, ""avg_sub_att_per_15"": 1.054, ""prior_win_rate"": 0.143}"
Flyweight,defense,best,1,Tyson Nam,1.132,8,1029,"{""avg_sig_str_defense"": 0.636, ""avg_td_defense"": 0.939, ""avg_sig_str_absorbed_per_15"": 71.444, ""avg_td_absorbed_per_15"": 0.25, ""avg_ctrl_absorbed_seconds_per_15"": 20.693, ""avg_kd_against"": 0.125, ""prior_finish_loss_rate"": 0.125}"
Flyweight,defense,best,2,Matheus Nicolau,1.068,11,567,"{""avg_sig_str_defense"": 0.643, ""avg_td_defense"": 0.947, ""avg_sig_str_absorbed_per_15"": 47.873, ""avg_td_absorbed_per_15"": 0.182, ""avg_ctrl_absorbed_seconds_per_15"": 59.79, ""avg_kd_against"": 0.455, ""prior_finish_loss_rate"": 0.273}"
Flyweight,defense,best,3,Amir Albazi,0.979,7,91,"{""avg_sig_str_defense"": 0.584, ""avg_td_defense"": 0.667, ""avg_sig_str_absorbed_per_15"": 48.168, ""avg_td_absorbed_per_15"": 0.314, ""avg_ctrl_absorbed_seconds_per_15"": 27.716, ""avg_kd_against"": 0.0, ""prior_finish_loss_rate"": 0.0}"
