weight_class,category,direction,rank,fighter,score,prior_fights,days_since_last_fight,supporting_stats_json
Light Heavyweight,experience,best,4,Jan Blachowicz,20.0,20,413,"{""prior_fights"": 20, ""prior_wins"": 12, ""prior_losses"": 8, ""prior_win_rate"": 0.6}"
Light Heavyweight,experience,best,5,Ion Cutelaba,19.0,19,56,"{""prior_fights"": 19, ""prior_wins"": 9, ""prior_losses"": 10, ""prior_win_rate"": 0.474}"
Light Heavyweight,experience,worst,1,Bogdan Guskov,5.0,5,287,"{""prior_fights"": 5, ""prior_wins"": 4, ""prior_losses"": 1, ""prior_win_rate"": 0.8}"
Light Heavyweight,experience,worst,2,Maxim Grishin,5.0,5,1071,"{""prior_fights"": 5, ""prior_wins"": 2, ""prior_losses"": 3, ""prior_win_rate"": 0.4}"
Light Heavyweight,experience,worst,3,Oumar Sy,5.0,5,56,"{""prior_fights"": 5, ""prior_wins"": 3, ""prior_losses"": 2, ""prior_win_rate"": 0.6}"
Light Heavyweight,experience,worst,4,Ibo Aslan,5.0,5,154,"{""prior_fights"": 5, ""prior_wins"": 2, ""prior_losses"": 3, ""prior_win_rate"": 0.4}"
Light Heavyweight,experience,worst,5,Philipe Lins,6.0,6,791,"{""prior_fights"": 6, ""prior_wins"": 4, ""prior_losses"": 2, ""prior_win_rate"": 0.667}"
Light Heavyweight,reach,best,1,Oumar Sy,83.0,5,56,"{""height_inches"": 76.0, ""reach_inches"": 83.0, ""reach_minus_height_inches"": 7.0}"
Light Heavyweight,reach,best,2,Johnny Walker,82.0,15,28,"{""height_inches"": 78.0, ""reach_inches"": 82.0, ""reach_minus_height_inches"": 4.0}"
Light Heavyweight,reach,best,3,Brendson Ribeiro,81.0,7,35,"{""height_inches"": 75.0, ""reach_inches"": 81.0, ""reach_minus_height_inches"": 6.0}"
Light Heavyweight,reach,best,4,Austen Lane,80.0,6,49,"{""height_inches"": 78.0, ""reach_inches"": 80.0, ""reach_minus_height_inches"": 2.0}"
Light Heavyweight,reach,best,5,Jiri Prochazka,80.0,9,28,"{""height_inches"": 75.0, ""reach_inches"": 80.0, ""reach_minus_height_inches"": 5.0}"
Light Heavyweight,reach,worst,1,Azamat Murzakanov,71.0,7,28,"{""height_inches"": 70.0, ""reach_inches"": 71.0, ""reach_minus_height_inches"": 1.0}"
Light Heavyweight,reach,worst,2,Paulo Costa,72.0,12,28,"{""height_inches"": 73.0, ""reach_inches"": 72.0, ""reach_minus_height_inches"": -1.0}"
Light Heavyweight,reach,worst,3,Marcin Prachnio,73.0,11,294,"{""height_inches"": 75.0, ""reach_inches"": 73.0, ""reach_minus_height_inches"": -2.0}"
Light Heavyweight,reach,worst,4,Jimmy Crute,74.0,10,224,"{""height_inches"": 74.0, ""reach_inches"": 74.0, ""reach_minus_height_inches"": 0.0}"
Light Heavyweight,reach,worst,5,Volkan Oezdemir,75.0,16,168,"{""height_inches"": 74.0, ""reach_inches"": 75.0, ""reach_minus_height_inches"": 1.0}"
Light Heavyweight,reach_for_size,best,1,Oumar Sy,7.0,5,56,"{""height_inches"": 76.0, ""reach_inches"": 83.0, ""reach_minus_height_inches"": 7.0}"
